"filename", "language", "Python", "CSS", "XML", "HTML", "JavaScript", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\support.user2\django_project_form\static\admin\js\change_form.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 2, 1, 17
"c:\Users\support.user2\django_project_form\static\admin\js\collapse.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 6, 1, 44
"c:\Users\support.user2\django_project_form\static\admin\js\core.js", "JavaScript", 0, 0, 0, 0, 136, 0, 0, 0, 19, 16, 171
"c:\Users\support.user2\django_project_form\static\admin\js\inlines.js", "JavaScript", 0, 0, 0, 0, 263, 0, 0, 0, 59, 27, 349
"c:\Users\support.user2\django_project_form\static\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 6, 1, 9
"c:\Users\support.user2\django_project_form\static\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\support.user2\django_project_form\static\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 1, 1, 17
"c:\Users\support.user2\django_project_form\static\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 10, 5, 44
"c:\Users\support.user2\django_project_form\static\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\support.user2\django_project_form\static\admin\js\urlify.js", "JavaScript", 0, 0, 0, 0, 160, 0, 0, 0, 5, 6, 171
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 0, 0, 6906, 0, 0, 0, 1890, 2077, 10873
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\support.user2\django_project_form\static\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
